Access ID,Customer ID ,Product Group ID,Access Date,Page Views,Time Spent,Device Used,Referrer URL,Session Duration,Conversion Rate,Bounce Rate
1,1,1,8/13/2023,200,3,Laptop,ABC.com,11 minutes,8%,70%
2,2,2,1/22/2023,50,18,Desktop,ABC.com,8 minutes,1%,40%
3,3,3,10/4/2023,300,18,Desktop,ABC.com,15 minutes,9%,70%
4,4,4,1/8/2023,900,13,Smartphone,ABC.com,20 minutes,4%,30%
5,5,5,,10,,Desktop,ABC.com,29 minutes,2%,60%
6,6,6,12/15/2023,60,15,Laptop,ABC.com,15 minutes,8%,40%
7,7,7,,400,,Smartphone,ABC.com,12 minutes,2%,60%
8,8,8,1/17/2023,,12,Tablet,ABC.com,8 minutes,8%,70%
9,9,9,,700,,Desktop,ABC.com,29 minutes,5%,90%
10,10,10,6/4/2023,,,Smartphone,ABC.com,10 minutes,9%,30%
11,11,11,,100,3,Desktop,ABC.com,8 minutes,1%,70%
12,12,12,6/27/2023,400,16,Tablet,ABC.com,10 minutes,1%,20%
13,13,13,6/11/2023,,14,Tablet,ABC.com,8 minutes,1%,40%
14,14,14,,400,6,Tablet,ABC.com,10 minutes,5%,30%
15,15,15,9/24/2023,,18,Laptop,ABC.com,8 minutes,9%,20%
16,16,16,2/6/2023,800,,Desktop,ABC.com,15 minutes,8%,30%
17,17,17,,60,14,Desktop,ABC.com,10 minutes,6%,20%
18,18,18,10/23/2023,,11,Smartphone,ABC.com,8 minutes,5%,70%
19,19,19,12/24/2023,600,12,Laptop,ABC.com,12 minutes,1%,60%
20,20,20,3/6/2023,90,13,Laptop,ABC.com,10 minutes,8%,40%
21,21,21,,1000,18,Desktop,ABC.com,15 minutes,4%,90%
22,22,22,4/28/2023,50,16,Laptop,ABC.com,15 minutes,5%,70%
23,23,23,12/20/2023,300,3,Desktop,ABC.com,8 minutes,3%,70%
24,24,24,11/28/2023,60,10,Tablet,ABC.com,8 minutes,9%,40%
25,25,25,1/1/2023,900,15,Smartphone,ABC.com,10 minutes,7%,30%
26,26,26,4/25/2023,200,12,Laptop,ABC.com,8 minutes,8%,30%
27,27,27,11/7/2023,80,11,Desktop,ABC.com,8 minutes,2%,20%
28,28,28,6/27/2023,800,12,Tablet,ABC.com,15 minutes,7%,70%
29,29,29,4/21/2023,900,9,Laptop,ABC.com,12 minutes,5%,20%
30,30,30,11/10/2023,900,16,Smartphone,ABC.com,12 minutes,7%,70%
31,31,31,5/20/2023,90,14,Smartphone,ABC.com,29 minutes,9%,40%
32,32,32,12/1/2023,700,3,Smartphone,ABC.com,8 minutes,1%,40%
33,33,33,4/13/2023,800,3,Tablet,ABC.com,11 minutes,5%,70%
34,34,34,5/30/2023,70,18,Smartphone,ABC.com,29 minutes,1%,50%
35,35,35,7/10/2023,20,16,Smartphone,ABC.com,10 minutes,8%,60%
36,36,36,3/15/2023,1000,18,Laptop,ABC.com,11 minutes,5%,40%
37,37,37,7/3/2023,800,6,Desktop,ABC.com,11 minutes,7%,40%
38,38,38,4/21/2023,500,10,Smartphone,ABC.com,10 minutes,3%,90%
39,39,39,1/6/2023,30,20,Laptop,ABC.com,12 minutes,2%,30%
40,40,40,7/23/2023,1000,16,Smartphone,ABC.com,15 minutes,5%,90%
41,41,41,2/13/2023,80,13,Desktop,ABC.com,29 minutes,1%,90%
42,42,42,8/29/2023,700,14,Laptop,ABC.com,8 minutes,9%,30%
43,43,43,2/21/2023,300,14,Tablet,ABC.com,8 minutes,7%,90%
44,44,44,2/20/2023,1000,12,Laptop,ABC.com,11 minutes,2%,30%
45,45,45,1/20/2023,800,16,Laptop,ABC.com,12 minutes,3%,60%
